id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0.0,3.58, And open as wide as you can.,"[50364, 400, 1269, 382, 4874, 382, 291, 393, 13, 50543]",0.0,-0.26467517114454703,1.5258620689655173,0.09103471040725708
1,0,3.58,8.58," Close, open, close, open, close.","[50543, 16346, 11, 1269, 11, 1998, 11, 1269, 11, 1998, 13, 50793]",0.0,-0.26467517114454703,1.5258620689655173,0.09103471040725708
2,0,10.0,11.64, Now move it from side to side.,"[50864, 823, 1286, 309, 490, 1252, 281, 1252, 13, 50946]",0.0,-0.26467517114454703,1.5258620689655173,0.09103471040725708
3,0,11.64,16.64," One, close, two, close, three, close.","[50946, 1485, 11, 1998, 11, 732, 11, 1998, 11, 1045, 11, 1998, 13, 51196]",0.0,-0.26467517114454703,1.5258620689655173,0.09103471040725708
4,0,26.080000000000002,28.32," Excellent, now stick it out as far as you can.","[51668, 16723, 11, 586, 2897, 309, 484, 382, 1400, 382, 291, 393, 13, 51780]",0.0,-0.26467517114454703,1.5258620689655173,0.09103471040725708
5,2832,28.32,33.32," One, close, two, close, three, close.","[50364, 1485, 11, 1998, 11, 732, 11, 1998, 11, 1045, 11, 1998, 13, 50614]",0.0,-0.4254069120987602,1.6363636363636365,0.0011254765558987856
6,2832,34.92,36.72," All right, now Lamisa's just going to give you","[50694, 1057, 558, 11, 586, 441, 335, 3837, 311, 445, 516, 281, 976, 291, 50784]",0.0,-0.4254069120987602,1.6363636363636365,0.0011254765558987856
7,2832,36.72,38.8, the same cues one more time.,"[50784, 264, 912, 32192, 472, 544, 565, 13, 50888]",0.0,-0.4254069120987602,1.6363636363636365,0.0011254765558987856
8,2832,38.8,39.64, I want you to.,"[50888, 286, 528, 291, 281, 13, 50930]",0.0,-0.4254069120987602,1.6363636363636365,0.0011254765558987856
9,2832,39.64,40.480000000000004, Just speak one.,"[50930, 1449, 1710, 472, 13, 50972]",0.0,-0.4254069120987602,1.6363636363636365,0.0011254765558987856
10,2832,41.72,42.56, Okay.,"[51034, 1033, 13, 51076]",0.0,-0.4254069120987602,1.6363636363636365,0.0011254765558987856
11,2832,42.56,46.120000000000005, But make sure that you're loud enough for this to hear.,"[51076, 583, 652, 988, 300, 291, 434, 6588, 1547, 337, 341, 281, 1568, 13, 51254]",0.0,-0.4254069120987602,1.6363636363636365,0.0011254765558987856
12,2832,47.84,50.44," Father, father, father, coffee.","[51340, 7085, 11, 3086, 11, 3086, 11, 4982, 13, 51470]",0.0,-0.4254069120987602,1.6363636363636365,0.0011254765558987856
13,2832,51.64,54.38," Father, father, father, coffee.","[51530, 7085, 11, 3086, 11, 3086, 11, 4982, 13, 51667]",0.0,-0.4254069120987602,1.6363636363636365,0.0011254765558987856
14,5438,55.38,58.24," Father, father, coffee.","[50414, 7085, 11, 3086, 11, 4982, 13, 50557]",0.0,-0.3399513700734014,2.3220338983050848,0.005021303426474333
15,5438,64.14,67.8, Six sitters saw the zebra in the zoo.,"[50852, 11678, 1394, 1559, 1866, 264, 47060, 294, 264, 25347, 13, 51035]",0.0,-0.3399513700734014,2.3220338983050848,0.005021303426474333
16,5438,68.7,72.5, Six sitters saw the zebra in the zoo.,"[51080, 11678, 1394, 1559, 1866, 264, 47060, 294, 264, 25347, 13, 51270]",0.0,-0.3399513700734014,2.3220338983050848,0.005021303426474333
17,5438,73.58,76.94, Six sitters saw the zebra in the zoo.,"[51324, 11678, 1394, 1559, 1866, 264, 47060, 294, 264, 25347, 13, 51492]",0.0,-0.3399513700734014,2.3220338983050848,0.005021303426474333
18,7694,77.78,78.62, Excellent.,"[50406, 16723, 13, 50448]",0.0,-0.3644461822509766,2.157142857142857,0.007786656264215708
19,7694,82.46,85.1, They thought there were three.,"[50640, 814, 1194, 456, 645, 1045, 13, 50772]",0.0,-0.3644461822509766,2.157142857142857,0.007786656264215708
20,7694,86.14,88.5, They thought there were three.,"[50824, 814, 1194, 456, 645, 1045, 13, 50942]",0.0,-0.3644461822509766,2.157142857142857,0.007786656264215708
21,7694,89.74,92.25999999999999, They thought there were three.,"[51004, 814, 1194, 456, 645, 1045, 13, 51130]",0.0,-0.3644461822509766,2.157142857142857,0.007786656264215708
22,7694,97.34,99.97999999999999," Puppy, pup, my balloon.","[51384, 13605, 7966, 11, 19784, 11, 452, 16994, 13, 51516]",0.0,-0.3644461822509766,2.157142857142857,0.007786656264215708
23,7694,101.02,104.62," Puppy, pup, my balloon.","[51568, 13605, 7966, 11, 19784, 11, 452, 16994, 13, 51748]",0.0,-0.3644461822509766,2.157142857142857,0.007786656264215708
24,10462,104.7,107.26," Puppy, pup, my balloon.","[50368, 13605, 7966, 11, 19784, 11, 452, 16994, 13, 50496]",0.0,-0.32955963053601856,1.1348314606741574,0.006123892497271299
25,10462,109.06,110.98, This one just once.,"[50586, 639, 472, 445, 1564, 13, 50682]",0.0,-0.32955963053601856,1.1348314606741574,0.006123892497271299
26,10462,110.98,112.7," Just once, go for it.","[50682, 1449, 1564, 11, 352, 337, 309, 13, 50768]",0.0,-0.32955963053601856,1.1348314606741574,0.006123892497271299
27,10462,112.7,117.7," 61, 62, 63, 64, 65, 66, 67, 68, 69.","[50768, 28294, 11, 24536, 11, 25082, 11, 12145, 11, 11624, 11, 21126, 11, 23879, 11, 23317, 11, 28267, 13, 51018]",0.0,-0.32955963053601856,1.1348314606741574,0.006123892497271299
